,user_id,reviews_username
0,1,joshua
100,3,rebecca
260,5,samantha
340,7,kimmie
400,8,cassie
460,13,nicole
540,25,karen
640,26,warren
680,31,michelle
760,35,danielle
900,42,solo
960,45,momof2
1060,73,ladyjenn
1068,75,marsh
1106,115,dada
1146,125,ammi
1186,126,lynn63
1226,127,jayjay
1326,172,chucky
1366,532,sidney
1406,594,judy
1486,636,jennifer
1586,675,mountainman
1646,676,rick
1946,681,george
2066,682,laura
2286,688,jill
2406,692,mj
2466,698,rosie
2566,701,doug
2626,710,disappointed
2726,722,val
2766,726,fred
2826,750,jewels
2886,755,shell
2966,769,mitzi
3006,775,paula
3086,794,deb
3186,796,brandon
3326,801,sandra
3406,810,mindy
3446,814,matt
3686,847,marty
3766,855,chris
4406,865,linda
4586,881,bobbi
4626,886,sandi
4726,899,jody
4806,906,sandy
5106,912,jazz
5146,916,nick
5306,924,kim
5406,929,bob
5486,931,bill
5586,939,tony
5886,973,lisa
6166,984,megan
6246,1002,none
6346,1018,bearyshopper2
6386,1062,faith
6426,1103,mary
6626,1123,jenni
6686,1125,bobby
6826,1126,happy
6986,1132,winniepoo2
7026,1137,janice
7106,1164,cleo
7166,1175,cindy
7386,1189,chrissy
7546,1213,meredith
7606,1221,susan
7726,1229,beverly
7806,1237,oreo
7846,1241,angel
8006,1244,mike
8826,1249,bailee
8886,1255,lindas
8922,1266,patty
9082,1295,brandy33
9120,1300,helen
9200,1319,danny
9300,1322,amber
9400,1354,abby
9460,1358,tomi
9500,1371,cber
9540,1384,julie
9660,1389,mark
9880,1391,kimberly
9960,1395,ernest
10000,1396,michael
10180,1398,ronald
10240,1400,lynn
10320,1403,lori
10440,1414,shelly
10540,1418,trix
10600,1453,alexis
10700,1491,rubia
10740,1493,maximus
10780,1519,movienut
10820,1524,kong
10880,1533,charles
10980,1534,john
11240,1536,squeak
11300,1545,raindq
11360,1563,shopper
11440,1593,renee
11520,1596,casey
11560,1621,momof3
11700,1623,ghost
11780,1627,jimr
11820,1659,kitty
11880,1674,russ
11920,1692,mamagia
11960,1695,missy
12120,1697,memyself2
12160,1700,larry
12220,1710,tampa
12260,1714,steve
12460,1717,00sab00
12500,1720,mario19
12540,1721,sharkofcanalstrt
12580,1727,heather
12680,1731,edgar
12720,1732,btechthor
12760,1734,unnamed
12800,1745,james
13040,1748,moviegoer
13100,1755,scott
13320,1757,drabo
13360,1765,christina
13420,1769,brian
13620,1770,sj95123
13660,1773,scb91
13700,1782,anthony
13760,1785,alex
13940,1798,person
13980,1803,buyer123
14020,1807,techie
14060,1810,sunny1
14100,1819,mudcat75979
14160,1825,eddie
14200,1830,woody
14280,1832,jimmy
14380,1841,daredevil
14420,1844,faceman69
14480,1848,moerena
14520,1857,jojo
14780,1863,bigdaddy
14860,1870,theoslithos
14900,1875,dadof2b1g
14940,1887,batmanny
14980,1896,sean
15020,1899,emerald
15080,1912,superman
15140,1923,jason
15240,1927,mugs
15280,1930,jimbo
15420,1942,amy1
15460,1958,marcus
15520,1963,peanut
15660,1964,doreen
15700,1967,david
15880,1978,ashley
15960,1979,richy
16020,1982,gamer
16080,1984,cdavadi
16140,1985,steph
16260,1989,musicgal14
16300,2002,jackie
16380,2003,charlie
16580,2008,truth
16640,2010,aaron
16740,2015,walt
16800,2018,bucket
16840,2034,hutch69
16900,2036,movielover
17140,2044,luvmovies
17180,2045,chas
17260,2053,foxy
17320,2056,dave
17580,2069,vicki
17700,2076,mikey
17820,2078,ryan
17920,2079,tina
18060,2081,junior
18140,2090,robflutie
18200,2097,1234
18280,2108,harley
18340,2114,champ
18380,2115,toddster7
18420,2121,nate
18560,2123,dreamer79
18600,2135,gary
18700,2136,shannon
18760,2141,angie
18940,2146,datmanvell
18980,2158,sheila
19060,2159,fluffy
19120,2165,joel
19200,2178,bluebox
19240,2208,kyle
19340,2214,george08
19400,2219,zitro
19440,2225,jess
19560,2226,bobo
19600,2229,jssmith
19700,2239,raul
19780,2257,josh
19900,2263,dani
19960,2265,kdawg
20000,2270,lovebestbuy
20040,2274,woowoo
20080,2280,thatguy
20160,2282,jake
20280,2283,bruce
20340,2294,happycamper
20380,2295,grace
20460,2312,bestbuyfan
20500,2314,sassy
20580,2335,keith
20660,2347,drew
20760,2360,jacob
20800,2372,coco
20880,2378,vickie
20960,2402,annie
21080,2410,animallover
21120,2414,frances
21160,2420,jessie
21240,2429,kiko
21280,2430,whome
21320,2440,diver13
21360,2446,jbasa
21400,2451,terri
21460,2460,suzanne
21520,2462,floyd
21580,2476,mimi
21760,2481,thequeen
21800,2485,jack
21860,2498,ds2014
21900,2513,kimmi
21940,2516,gagym
21980,2526,cougar
22040,2528,mikasa1
22080,2531,bigd
22120,2546,scampertim
22160,2566,kris
22260,2598,jeff
22440,2620,aimee
22480,2623,diane
22600,2641,gina
22740,2653,moviefan
22860,2656,sparky
22940,2665,frank
23080,2692,nana
23180,2714,gigi
23260,2738,ronnie
23320,2758,chief
23360,2768,todd
23480,2808,sissy
23560,2822,mrpibb25
23600,2845,jonathan
23680,2871,katie
23740,2885,rena
23780,2904,maggie
23840,2917,jenn
24040,2923,meme
24120,2925,rusty
24200,2928,techgeek
24240,2933,busymom
24300,2935,snoopy
24360,2980,gatorbobert
24400,2998,jane
24520,3036,robby
24600,3049,anne
24720,3191,april
24820,3197,suzyq
